Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,:,:,:,:,:,"158,886.42","161,585.63","161,221.84","160,608.72","165,882.33","166,865.62","174,009.96","167,857.37","173,791.61","165,231.58","168,018.99","166,175.42","171,703.14","172,702.25","174,834.28","172,394.67","172,082.37","172,143.24","173,143.93","151,654.73","161,765.06","148,934.2","143,417.26","142,884.12","134,788.52","140,604.25","142,450.32","145,504.27","152,498.97","147,728.38"
Bulgaria,:,:,:,"97,894.68","95,451.76","81,753.49","64,216.69","59,404.44","58,901.77","54,592.93","56,027.51","56,338.6","52,216.83","48,563.02","41,534.63","40,501.3","47,134.9","44,233.72","49,629.13","47,944.08","47,311.99","50,439.72","53,252.68","53,878.73","45,014.2","47,941.55","55,844","51,266.96","47,215.55","49,014.61","52,821.27","50,459.4","52,815.21","48,731.02","47,363.91"
Czechia,:,:,:,:,:,"192,516.72","171,215.82","164,121.02","156,354.39","151,030.71","149,785.55","152,588.52","149,114.97","142,890.11","132,933.15","142,299.17","142,056.67","138,586.73","143,042.83","144,035.91","141,714.34","145,059.79","148,377.92","140,623.44","130,649.08","134,148.64","131,403.2","127,078.64","122,202.5","120,198.54","122,323.27","125,139.91","128,385.63","134,618.33","138,138.43"
Denmark,:,:,:,:,:,"82,189.38","91,355.16","86,539.36","89,065.95","93,047.56","90,357.81","102,653.52","93,118.07","88,987.11","86,392.21","82,181.12","82,170.46","81,712.47","86,766.87","80,284.81","76,075.15","84,965.45","80,961.46","75,469.39","70,123.33","70,087.34","64,680.97","58,824.81","60,644.99","57,677.13","54,206.28","57,187.79","54,422.12","56,420.81","52,022.14"
Germany (until 1990 former territory of the FRG),:,:,:,:,:,"1,291,967.89","1,192,593.67","1,136,106.82","1,129,702.92","1,118,991.61","1,107,546.49","1,132,199.92","1,097,963.74","1,071,842.52","1,037,757.65","1,047,411.04","1,059,833.72","1,066,166.87","1,063,846.63","1,046,351.02","1,022,695.84","1,028,107.41","1,008,767.19","998,882.97","924,073.28","964,741.03","940,026.21","938,348.32","955,326.97","911,647.46","916,956.48","922,903.03","907,369.39","872,094.8","826,767.51"
Estonia,:,:,:,:,:,"38,742.62","35,046.21","25,786.73","19,314.5","20,346.62","18,097.67","18,678.89","18,205.82","16,009.02","15,311.9","14,098.16","14,295.14","14,066.03","14,752.87","16,131.74","18,601.4","17,189.12","20,770.96","17,278.9","14,046.66","17,545.7","17,247.12","17,453.98","19,855.2","20,538.79","16,545.54","17,918.7","20,284.58","20,780.06","14,745.44"
Ireland,:,:,:,:,:,"60,670.51","61,341.64","60,853.17","61,867.56","63,246.48","65,968.18","67,768.58","68,732.44","71,147.21","72,813.74","76,656.34","80,409.89","78,269.1","79,007.46","76,509.53","79,089.89","79,329.98","77,639.53","76,048.59","69,482.34","70,952.16","65,702.44","65,391.86","65,622.5","66,661.07","69,044.85","70,558.67","72,148.01","71,123.68","68,009.48"
Greece,:,:,:,:,:,"112,036.84","110,874.91","113,288.14","114,035.96","118,183.04","120,905.09","123,076.21","128,269.29","135,353.54","133,765.79","138,937.85","138,965.82","137,416.85","142,376.81","143,263.47","145,199.43","142,201.62","147,038.61","141,970.22","132,944.45","127,055.6","124,307.81","119,130.89","110,671.62","108,183.81","100,587.36","97,201.03","102,967.19","99,423.94","94,634.41"
Spain,:,:,:,:,:,"270,561.33","280,322.49","291,385.46","278,794.93","296,694.22","311,718.74","308,493.85","327,372.34","337,953.07","362,343.67","377,776.77","376,660.68","396,376.67","405,665.62","423,175.61","441,106.65","433,879.75","448,653.91","415,894.23","377,456.75","360,419.61","361,932.3","355,597.72","326,214.46","328,806.06","337,083.6","327,578.94","339,140.57","335,596.22","319,246.18"
France,:,:,:,:,:,"539,358.02","565,197.77","557,900.36","534,123.15","528,295.64","532,011.56","544,998.16","538,493.29","551,504.84","543,441.71","554,914.34","546,840.76","531,636.89","533,822.11","531,677.03","531,174.93","520,193.15","511,802.87","503,711.8","490,726.04","496,317.82","473,012.82","471,370.63","468,298.68","442,395.44","449,431.77","448,548.4","454,223.12","438,135.72","429,696.39"
