"Year","Firm","ESG controversy score","Governance controversy score","Score - Emission Reduction/Biodiversity Controversies (Inactive)","Score - Product Innovation/Product Impact Controversies (Inactive)","Score - Resource Reduction/Environment Impact Controversy (Inactive)","Score - Client Loyalty/Anti-competition Controversy (Inactive)","Score - Community/Bribery Corruption Fraud Controversies (Inactive)","Score - Community/Critical Countries-Indigenous Controversy (Inactive)","Score - Community/Public Health Controversies (Inactive)","Score - Diversity and Opportunity/Diversity Controversies (Inactive)","Score - Employment Quality/Wages Work Condition Controversy (Inactive)","Score - Health & Safety/Health & Safety Controversies (Inactive)","Score - Human Rights/Child Labor Controversies (Inactive)","Score - Human Rights/Freedom of Association Controversies (Inactive)","Score - Human Rights/Human Rights Controversies (Inactive)","Score - Product Responsibility/Customer Controversies (Inactive)","Score - Product Responsibility/Social Exclusion Controversy (Inactive)","Score - Compensation Policy/Compensation Controversies (Inactive)","Score - Shareholder Loyalty/Accounting Controversies (Inactive)","Score - Shareholder Loyalty/Insider Dealings Controversies (Inactive)","Score - Shareholder Rights/Shareholder Controversies (Inactive)","mv","mc","tobin","roe","oia","ois","esg_score","assets","roa","sg","lev","div","ind","country"
2017,"1&1 DRILLISCH",64.41,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,2283.14,12166711,3.933,9.33,0.089737759,0.146497563,31.63,4591122,18.2,296.09,0.01,4.2,142,"DE"
2017,"3I GROUP",11.34,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,0,50,51.63,52.54,52.06,52.91,6848.33,7291199,0.959,31.67,0.170713541,1.007915567,74.17,6713000,27.3,62.89,8.57,3.41,109,"GB"
2017,"3I INFRASTRUCTURE",50.85,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,1917.59,1940179,0.715,9.37,0.076039043,1.735329341,50.27,1905600,9.24,32.54,5.53,3.96,109,"GB"
2017,"888 HOLDINGS",58.97,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,778.11,1013217,2.073,28.87,0.198799636,0.139536057,49.39,292078,3.23,7.43,0,4.15,100,"GB"
2017,"A2A",7.06,52.285,52.99,52.06,54.61,0,0.09,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,3953.73,4794362,0.728,8.24,0.076388889,0.12715666,59.71,9648000,3.75,19.26,40.82,3.9,169,"IT"
2017,"AALBERTS",55.18,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,3442.36,4688043,1.454,13.3,0.100390234,0.107906459,53.04,2895700,7.59,6.82,21.14,1.67,213,"NL"
2017,"AAREAL BANK",57.92,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,2144.68,2258413,0.369,7.45,0.007558181,0.312252964,76.37,41809000,0.6,-9.24,35.73,4.61,102,"DE"
2017,"ABB LTD N",0.81,52.285,52.99,52.06,54.61,59.67,0.09,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,47572.66,55860401,1.187,13.67,0.093447267,0.11414523,93.08,40919688,5.96,-0.46,17.73,3.45,258,"CH"
2017,"ABERFORTH SMCOS.",50.85,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,1046.93,1233169,0.862,5.11,0.181625656,0.950350114,45.6,1444438,19.48,273.17,0.6,2.39,109,"GB"
2017,"ACACIA MINING DEAD - DELIST.17/09/19",12.69,52.285,0,52.06,54.61,59.67,0.09,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,1532.9,814020,0.67,4.67,0.114416878,0.23930312,58.48,1207217,-33.38,-26.34,4.35,0.91,119,"GB"
